sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
4,11498,Dummy,630,750,-99,-99,-0.000118406,0.00581846,0.982151,0.982155
4,11572,Dummy,630,750,-99,-99,-99.0,0.00570222,0.984163,0.984166
4,11598,Dummy,1050,750,-99,-99,-2.14656e-05,0.00613688,0.831037,0.831046
4,11599,Dummy,1050,750,-99,-99,-9.9641e-06,0.00416067,0.822649,0.822656
7,12010,Dummy,1785,750,-99,-99,0.0177886,0.015954,0.982015,0.983165
7,12036,Dummy,1785,750,-99,-99,0.00197726,0.00179092,0.993152,0.997168
7,12037,Dummy,1785,750,-99,-99,0.0147273,0.0132071,0.990567,0.991926
7,12054,Dummy,1785,750,-99,-99,0.0155875,0.0140064,0.963856,0.964999
11,12334,Dummy,2100,750,-99,-99,0.0276694,0.0247986,0.986463,0.986466
11,12397,Dummy,2100,750,-99,-99,0.00449786,0.00404918,0.993132,0.993135
11,12399,Dummy,2100,750,-99,-99,0.0292236,0.026211,0.98895,0.988953
11,12489,Dummy,2100,750,-99,-99,0.00243865,0.00219396,0.993698,0.993736
11,12490,Dummy,2100,750,-99,-99,0.0283325,0.0253593,0.989348,0.989414
11,12560,Dummy,2100,750,-99,-99,-99.0,0.0496034,0.992019,0.992059
11,12624,Dummy,2100,750,-99,-99,0.0548102,0.0491311,0.991862,0.991906
11,12690,Dummy,2100,750,-99,-99,0.0568608,0.0509698,0.992418,0.990336
11,12745,Dummy,2100,750,-99,-99,0.066536,0.059632,0.993472,0.991201
11,12821,Dummy,2100,750,-99,-99,0.0670043,0.0600349,0.993312,0.991188
11,12922,Dummy,2100,750,-99,-99,0.114695,0.102783,0.992157,0.991113
11,13001,Dummy,2100,750,-99,-99,0.0405153,0.0363274,0.993069,0.992105
11,13026,Dummy,2100,750,-99,-99,0.0992655,0.0889326,0.993484,0.992438
11,13064,Dummy,2100,750,-99,-99,0.0500575,0.0448549,0.990605,0.988986
14,13310,Dummy,1470,750,-99,-99,0.0781571,0.069975,0.976727,0.976729
14,13311,Dummy,1470,750,-99,-99,0.0780039,0.0698856,0.976006,0.97601
14,13374,Dummy,1470,750,-99,-99,0.135618,0.121489,0.98558,0.985582
14,13404,Dummy,1470,750,-99,-99,0.107594,0.0963632,0.986377,0.98638
8,13457,Dummy,1470,750,-99,-99,0.0147606,0.0132431,0.975027,0.97503
8,13458,Dummy,1470,750,-99,-99,0.030767,0.0275907,0.97488,0.974883
8,13507,Dummy,1470,750,-99,-99,0.0310991,0.0279081,0.990332,0.990334
8,13508,Dummy,1470,750,-99,-99,0.0748496,0.0671465,0.989347,0.989348
8,13509,Dummy,1470,750,-99,-99,0.0213928,0.019191,0.990284,0.990286
8,13513,Dummy,1470,750,-99,-99,0.0319332,0.0287273,0.990712,0.990714
8,13514,Dummy,1470,750,-99,-99,0.0475469,0.0426544,0.990458,0.990459
9,13658,Dummy,1470,750,-99,-99,0.0170253,0.0153179,0.975486,0.975489
9,13659,Dummy,1470,750,-99,-99,0.0109256,0.00986287,0.976181,0.976184
9,13794,Dummy,1470,750,-99,-99,0.0999184,0.0894875,0.981083,0.981086
